occurrenceID;vernacularName;scientificName;year;references;establishmentMeans
Aal-1993;Aal;Anguilla anguilla (Linnaeus, 1758);1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Aal.pdf;native
Aland-1993;Aland;Leuciscus idus (Linnaeus, 1758);1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Aland.pdf;native
Barsch-1993;Barsch;Perca fluviatilis Linnaeus, 1758;1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Barsch.pdf;native
Bitterling-1993;Bitterling;Rhodeus amarus (Bloch, 1782);1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Bitterling.pdf;native
Blei-1993;Blei;Abramis brama (Linnaeus, 1758);1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Blei.pdf;native
Döbel-1993;Döbel;Leuciscus cephalus (Linnaeus, 1758);1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Doebel.pdf;native
Dreistachliger Stichling-1993;Dreistachliger Stichling;Gasterosteus aculeatus Linnaeus, 1758;1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Dreistachliger_Stichling.pdf;native
Giebel-1993;Giebel;Carassius gibelio (Bloch, 1782);1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Giebel.pdf;native
Goldfisch-1993;Goldfisch;Carassius auratus (Linnaeus, 1758);1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Neozoa.pdf;introduced
Graskarpfen-1993;Graskarpfen;Ctenopharyngodon idella (Valenciennes, 1844);1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Neozoa.pdf;introduced
Gründling-1993;Gründling;Gobio gobio (Linnaeus, 1758);1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Gruendling.pdf;native
Güster-1993;Güster;Abramis bjoerkna (Linnaeus, 1758);1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Guester.pdf;native
Hasel-1993;Hasel;Leuciscus leuciscus (Linnaeus, 1758);1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Hasel.pdf;native
Hecht-1993;Hecht;Esox lucius Linnaeus, 1758;1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Hecht.pdf;native
Karausche-1993;Karausche;Carassius carassius (Linnaeus, 1758);1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Karausche.pdf;native
Karpfen-1993;Karpfen;Cyprinus carpio Linnaeus, 1758;1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Karpfen.pdf;native
Kaulbarsch-1993;Kaulbarsch;Gymnocephalus cernuus (Linnaeus, 1758);1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Kaulbarsch.pdf;native
Moderlieschen-1993;Moderlieschen;Leucaspius delineatus (Heckel, 1843);1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Moderlieschen.pdf;native
Plötze-1993;Plötze;Leucaspius delineatus (Heckel, 1843);1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Ploetze.pdf;native
Quappe-1993;Quappe;Lota lota (Linnaeus, 1758);1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Quappe.pdf;native
Rapfen-1993;Rapfen;Aspius aspius (Linnaeus, 1758);1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Rapfen.pdf;native
Regenbogenforelle-1993;Regenbogenforelle;Oncorhynchus mykiss (Walbaum, 1792);1993;;native
Rotfeder-1993;Rotfeder;Scardinius erythrophthalmus (Linnaeus, 1758);1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Rotfeder.pdf;native
Schlammpeitzger-1993;Schlammpeitzger;Misgurnus fossilis (Linnaeus, 1758);1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Schlammpeitzger.pdf;native
Schleie-1993;Schleie;Tinca tinca (Linnaeus, 1758);1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Schleie.pdf;native
Silberkarpfen-1993;Silberkarpfen;Hypophthalmichthys molitrix (Valenciennes, 1844);1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Neozoa.pdf;introduced
Steinbeißer-1993;Steinbeißer;Cobitis taenia Linnaeus, 1758;1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Steinbeisser.pdf;native
Stint-1993;Stint;Osmerus eperlanus (Linnaeus, 1758);1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Stint.pdf;native
Ukelei-1993;Ukelei;Alburnus alburnus (Linnaeus, 1758);1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Ukelei.pdf;native
Wels-1993;Wels;Silurus glanis Linnaeus, 1758;1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Wels.pdf;native
Zander-1993;Zander;Sander lucioperca (Linnaeus, 1758);1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Zander.pdf;native
Zwergstichling-1993;Zwergstichling;Pungitius pungitius (Linnaeus, 1758);1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Zwergstichling.pdf;native
Zwergwels-1993;Zwergwels;Ameiurus nebulosus (LeSueur, 1819);1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Neozoa.pdf;introduced
Aal-2003;Aal;Anguilla anguilla (Linnaeus, 1758);2003;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Aal.pdf;native
Aland-2003;Aland;Leuciscus idus (Linnaeus, 1758);2003;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Aland.pdf;native
Barsch-2003;Barsch;Perca fluviatilis Linnaeus, 1758;2003;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Barsch.pdf;native
Bitterling-2003;Bitterling;Rhodeus amarus (Bloch, 1782);2003;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Bitterling.pdf;native
Blei-2003;Blei;Abramis brama (Linnaeus, 1758);2003;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Blei.pdf;native
Döbel-2003;Döbel;Leuciscus cephalus (Linnaeus, 1758);2003;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Doebel.pdf;native
Dreistachliger Stichling-2003;Dreistachliger Stichling;Gasterosteus aculeatus Linnaeus, 1758;2003;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Dreistachliger_Stichling.pdf;native
Giebel-2003;Giebel;Carassius gibelio (Bloch, 1782);2003;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Giebel.pdf;native
Goldfisch-2003;Goldfisch;Carassius auratus (Linnaeus, 1758);2003;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Neozoa.pdf;introduced
Graskarpfen-2003;Graskarpfen;Ctenopharyngodon idella (Valenciennes, 1844);2003;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Neozoa.pdf;introduced
Gründling-2003;Gründling;Gobio gobio (Linnaeus, 1758);2003;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Gruendling.pdf;native
Güster-2003;Güster;Abramis bjoerkna (Linnaeus, 1758);2003;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Guester.pdf;native
Hasel-2003;Hasel;Leuciscus leuciscus (Linnaeus, 1758);2003;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Hasel.pdf;native
Hecht-2003;Hecht;Esox lucius Linnaeus, 1758;2003;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Hecht.pdf;native
Karausche-2003;Karausche;Carassius carassius (Linnaeus, 1758);2003;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Karausche.pdf;native
Karpfen-2003;Karpfen;Cyprinus carpio Linnaeus, 1758;2003;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Karpfen.pdf;native
Kaulbarsch-2003;Kaulbarsch;Gymnocephalus cernuus (Linnaeus, 1758);2003;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Kaulbarsch.pdf;native
Marmorkarpfen-2003;Marmorkarpfen;Hypophthalmichthys nobilis (Richardson, 1845);2003;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Neozoa.pdf;introduced
Moderlieschen-2003;Moderlieschen;Leucaspius delineatus (Heckel, 1843);2003;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Moderlieschen.pdf;native
Plötze-2003;Plötze;Leucaspius delineatus (Heckel, 1843);2003;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Ploetze.pdf;native
Quappe-2003;Quappe;Lota lota (Linnaeus, 1758);2003;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Quappe.pdf;native
Rapfen-2003;Rapfen;Aspius aspius (Linnaeus, 1758);2003;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Rapfen.pdf;native
Regenbogenforelle-2003;Regenbogenforelle;Oncorhynchus mykiss (Walbaum, 1792);2003;;native
Rotfeder-2003;Rotfeder;Scardinius erythrophthalmus (Linnaeus, 1758);2003;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Rotfeder.pdf;native
Schlammpeitzger-2003;Schlammpeitzger;Misgurnus fossilis (Linnaeus, 1758);2003;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Schlammpeitzger.pdf;native
Schleie-2003;Schleie;Tinca tinca (Linnaeus, 1758);2003;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Schleie.pdf;native
Silberkarpfen-2003;Silberkarpfen;Hypophthalmichthys molitrix (Valenciennes, 1844);2003;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Neozoa.pdf;introduced
Steinbeißer-2003;Steinbeißer;Cobitis taenia Linnaeus, 1758;2003;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Steinbeisser.pdf;native
Stint-2003;Stint;Osmerus eperlanus (Linnaeus, 1758);2003;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Stint.pdf;native
Ukelei-2003;Ukelei;Alburnus alburnus (Linnaeus, 1758);2003;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Ukelei.pdf;native
Wels-2003;Wels;Silurus glanis Linnaeus, 1758;2003;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Wels.pdf;native
Zander-2003;Zander;Sander lucioperca (Linnaeus, 1758);2003;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Zander.pdf;native
Zwergstichling-2003;Zwergstichling;Pungitius pungitius (Linnaeus, 1758);2003;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Zwergstichling.pdf;native
Zwergwels-2003;Zwergwels;Ameiurus nebulosus (LeSueur, 1819);2003;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Neozoa.pdf;introduced
Aal-2013;Aal;Anguilla anguilla (Linnaeus, 1758);2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Aal.pdf;native
Aland-2013;Aland;Leuciscus idus (Linnaeus, 1758);2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Aland.pdf;native
Bachsaibling-2013;Bachsaibling;Salvelinus fontinalis (Mitchill, 1814);2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Neozoa.pdf;introduced
Barsch-2013;Barsch;Perca fluviatilis Linnaeus, 1758;2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Barsch.pdf;native
Bitterling-2013;Bitterling;Rhodeus amarus (Bloch, 1782);2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Bitterling.pdf;native
Blaubandbärbling-2013;Blaubandbärbling;Pseudorasbora parva (Temminck & Schlegel, 1846);2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Neozoa.pdf;introduced
Blei-2013;Blei;Abramis brama (Linnaeus, 1758);2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Blei.pdf;native
Döbel-2013;Döbel;Leuciscus cephalus (Linnaeus, 1758);2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Doebel.pdf;native
Dreistachliger Stichling-2013;Dreistachliger Stichling;Gasterosteus aculeatus Linnaeus, 1758;2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Dreistachliger_Stichling.pdf;native
Giebel-2013;Giebel;Carassius gibelio (Bloch, 1782);2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Giebel.pdf;native
Goldfisch-2013;Goldfisch;Carassius auratus (Linnaeus, 1758);2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Neozoa.pdf;introduced
Goldorfe-2013;Goldorfe;Leuciscus idus auratus (Bade, 1901);2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Neozoa.pdf;introduced
Graskarpfen-2013;Graskarpfen;Ctenopharyngodon idella (Valenciennes, 1844);2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Neozoa.pdf;introduced
Gründling-2013;Gründling;Gobio gobio (Linnaeus, 1758);2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Gruendling.pdf;native
Güster-2013;Güster;Abramis bjoerkna (Linnaeus, 1758);2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Guester.pdf;native
Hasel-2013;Hasel;Leuciscus leuciscus (Linnaeus, 1758);2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Hasel.pdf;native
Hecht-2013;Hecht;Esox lucius Linnaeus, 1758;2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Hecht.pdf;native
Karausche-2013;Karausche;Carassius carassius (Linnaeus, 1758);2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Karausche.pdf;native
Karpfen-2013;Karpfen;Cyprinus carpio Linnaeus, 1758;2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Karpfen.pdf;native
Kaulbarsch-2013;Kaulbarsch;Gymnocephalus cernuus (Linnaeus, 1758);2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Kaulbarsch.pdf;native
Marmorkarpfen-2013;Marmorkarpfen;Hypophthalmichthys nobilis (Richardson, 1845);2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Neozoa.pdf;introduced
Moderlieschen-2013;Moderlieschen;Leucaspius delineatus (Heckel, 1843);2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Moderlieschen.pdf;native
Plötze-2013;Plötze;Leucaspius delineatus (Heckel, 1843);2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Ploetze.pdf;native
Quappe-2013;Quappe;Lota lota (Linnaeus, 1758);2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Quappe.pdf;native
Rapfen-2013;Rapfen;Aspius aspius (Linnaeus, 1758);2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Rapfen.pdf;native
Rotfeder-2013;Rotfeder;Scardinius erythrophthalmus (Linnaeus, 1758);2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Rotfeder.pdf;native
Schlammpeitzger-2013;Schlammpeitzger;Misgurnus fossilis (Linnaeus, 1758);2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Schlammpeitzger.pdf;native
Schleie-2013;Schleie;Tinca tinca (Linnaeus, 1758);2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Schleie.pdf;native
Schmerle-2013;Schmerle;Barbatula barbatula (Linnaeus, 1758);2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Schmerle.pdf;native
Silberkarpfen-2013;Silberkarpfen;Hypophthalmichthys molitrix (Valenciennes, 1844);2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Neozoa.pdf;introduced
Gemeiner Sonnenbarsch-2013;Gemeiner Sonnenbarsch;Lepomis gibbosus (Linnaeus, 1758);2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Neozoa.pdf;introduced
Steinbeißer-2013;Steinbeißer;Cobitis taenia Linnaeus, 1758;2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Steinbeisser.pdf;native
Stint-2013;Stint;Osmerus eperlanus (Linnaeus, 1758);2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Stint.pdf;native
Ukelei-2013;Ukelei;Alburnus alburnus (Linnaeus, 1758);2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Ukelei.pdf;native
Wels-2013;Wels;Silurus glanis Linnaeus, 1758;2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Wels.pdf;native
Zander-2013;Zander;Sander lucioperca (Linnaeus, 1758);2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Zander.pdf;native
Zwergstichling-2013;Zwergstichling;Pungitius pungitius (Linnaeus, 1758);2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Zwergstichling.pdf;native
Zwergwels-2013;Zwergwels;Ameiurus nebulosus (LeSueur, 1819);2013;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Neozoa.pdf;introduced